Ticker,股本(億),KD,MACD
1103.TW,65.88,True,True
1203.TW,23.77,True,True
1213.TW,5.66,True,True
1225.TW,24.23,True,True
1304.TW,107.23,True,True
1305.TW,58.1,True,True
1308.TW,59.37,True,True
1309.TW,39.76,True,True
1340.TW,15.29,True,True
1418.TW,5.43,True,True
1471.TW,15.04,True,True
1524.TW,16.53,True,True
1735.TW,9.94,True,True
1773.TW,30.0,True,True
2006.TW,73.02,True,True
2022.TW,33.72,True,True
2049.TW,35.38,True,True
2104.TW,97.0,True,True
2329.TW,65.89,True,True
2349.TW,69.37,True,True
2354.TW,141.45,True,True
2453.TW,10.0,True,True
2458.TW,28.63,True,True
2460.TW,16.92,True,True
2498.TW,83.61,True,True
2527.TW,26.18,True,True
2630.TW,20.94,True,True
2904.TW,7.78,True,True
2908.TW,50.99,True,True
3002.TW,10.2,True,True
3008.TW,13.08,True,True
3031.TW,17.32,True,True
3051.TW,16.5,True,True
3094.TW,8.31,True,True
3419.TW,12.05,True,True
4746.TW,12.03,True,True
4916.TW,12.37,True,True
4934.TW,22.5,True,True
4942.TW,14.24,True,True
4949.TW,6.77,True,True
5269.TW,7.42,True,True
5283.TW,8.76,True,True
5533.TW,28.52,True,True
5608.TW,38.93,True,True
6120.TW,59.9,True,True
6136.TW,11.55,True,True
6183.TW,15.0,True,True
6205.TW,8.07,True,True
6214.TW,27.22,True,True
6239.TW,73.88,True,True
6269.TW,32.05,True,True
6412.TW,40.08,True,True
6443.TW,51.28,True,True
6456.TW,33.02,True,True
6477.TW,12.38,True,True
6591.TW,4.11,True,True
6657.TW,8.79,True,True
6672.TW,7.14,True,True
6689.TW,6.78,True,True
6834.TW,8.85,True,True
6994.TW,7.24,True,True
7769.TW,17.99,True,True
8110.TW,50.57,True,True
8213.TW,26.44,True,True
8222.TW,6.86,True,True
8422.TW,113.68,True,True
8466.TW,7.94,True,True
8473.TW,18.11,True,True
9929.TW,10.13,True,True
9955.TW,10.44,True,True
2254.TW,6.38,True,True
6534.TW,10.08,True,True
7827.TW,13.96,True,True
